moment_power,n_steps,dt,em_expectation,exact_expectation,weak_abs_error,fitted_slope
1,4,0.25,105.09453369140623,105.12710963760242,0.03257594619618942,0.9982242650832367
1,8,0.125,105.11075292222539,105.12710963760242,0.016356715377028763,0.9982242650832367
1,16,0.0625,105.11891397217332,105.12710963760242,0.008195665429099108,0.9982242650832367
1,32,0.03125,105.1230074625461,105.12710963760242,0.004102175056317492,0.9982242650832367
1,64,0.015625,105.12505746255445,105.12710963760242,0.0020521750479645107,0.9982242650832367
1,128,0.0078125,105.12608327795753,105.12710963760242,0.001026359644882291,0.9982242650832367
1,256,0.00390625,105.12659638971968,105.12710963760242,0.0005132478827363229,0.9982242650832367
2,4,0.25,11482.16106230393,11502.737988572273,20.576926268342504,0.9957918059888475
2,8,0.125,11492.34681041609,11502.737988572273,10.391178156183742,0.9957918059888475
2,16,0.0625,11497.516281808861,11502.737988572273,5.22170676341193,0.9957918059888475
2,32,0.03125,11500.12054973546,11502.737988572273,2.617438836812653,0.9957918059888475
2,64,0.015625,11501.427615711153,11502.737988572273,1.3103728611204133,0.9957918059888475
2,128,0.0078125,11502.082387891542,11502.737988572273,0.6556006807313679,0.9957918059888475
2,256,0.00390625,11502.410084558423,11502.737988572273,0.3279040138495475,0.9957918059888475
