S,neural,exact
50.0,0.030330952,0.0023994175533097323
50.25,0.031569313,0.002638737007908745
50.5,0.032856494,0.002898966795080303
50.75,0.034194358,0.0031816548130467817
51.0,0.035584737,0.0034884403123105895
51.25,0.037029665,0.003821057612540743
51.5,0.038531043,0.004181339867386391
51.75,0.04009105,0.004571222871923825
52.0,0.04171178,0.004992748907157035
52.25,0.043395426,0.005448070615720835
52.5,0.04514437,0.0059394549026677845
52.75,0.046960853,0.0064692868549715565
53.0,0.048847497,0.0070400736731372066
53.25,0.05080674,0.007654448608078596
53.5,0.052841093,0.008315174896217886
53.75,0.054953456,0.009025149685563727
54.0,0.057146426,0.009787407945332588
54.25,0.059422936,0.010605126351535071
54.5,0.06178599,0.011481627140786044
54.75,0.06423864,0.012420381924473756
55.0,0.0667839,0.013425015455323958
55.25,0.06942507,0.014499309338297905
55.5,0.0721655,0.01564720567769312
55.75,0.07500877,0.016872810652282355
56.0,0.07795819,0.018180398010283427
56.25,0.08101758,0.01957441247595687
56.5,0.08419058,0.021059473059643452
56.75,0.087481186,0.022640376263093176
57.0,0.09089321,0.024322099171987077
57.25,0.094430864,0.026109802427651874
57.5,0.09809842,0.028008833070054195
57.75,0.10190025,0.03002472724428884
58.0,0.105840504,0.03216321276293199
58.25,0.109924175,0.03443021151676984
58.5,0.11415565,0.03683184172663623
58.75,0.118540026,0.03937442002926261
59.0,0.12308214,0.04206446339027581
59.25,0.12778702,0.04490869083776483
59.5,0.13266012,0.04791402501001063
59.75,0.13770674,0.0510875935113595
60.0,0.14293244,0.05443673007042016
60.25,0.14834289,0.05796897549513691
60.5,0.15394369,0.061692078419592566
60.75,0.15974131,0.06561399583773453
61.0,0.16574137,0.06974289341956985
61.25,0.17195031,0.0740871456057548
61.5,0.17837472,0.07865533547685244
61.75,0.18502104,0.08345625439394189
62.0,0.19189596,0.08849890140763961
62.25,0.19900654,0.0937924824330032
62.5,0.20635965,0.0993464091881977
62.75,0.2139627,0.10517029789521071
63.0,0.22182313,0.11127396774132814
63.25,0.22994825,0.11766743910049837
63.5,0.23834613,0.12436093151414318
63.75,0.2470245,0.13136486143138848
64.0,0.25599143,0.13868983970912718
64.25,0.265255,0.14634666887274195
64.5,0.27482417,0.15434634013871174
64.75,0.28470665,0.16270003020082768
65.0,0.29491234,0.171419097782036
